Year,CPI,DPI
1971,40.5,3740
1986,109.6,12469
1977,60.6,6262
1989,124,15307
1973,44.4,4481
1968,34.8,3037
1984,103.9,11257
1993,144.5,18153
1998,163,23016
1988,118.3,14477
1982,96.5,9724
1990,130.7,16205
1975,53.8,5291
1972,41.8,4000
2000,172.2,24908
1978,65.2,6968
1966,32.4,2675
1992,140.3,17636
1965,31.5,2505
1983,99.6,10340
1979,72.6,7682
1964,,99999999
1976,56.9,5744
1999,166.6,23693
1991,136.2,16766
1969,36.7,3239
1996,156.9,21375
1980,82.4,8421
1985,107.6,11861
1994,148.2,19003
1997,160.5,22312
1987,113.6,13094
1974,49.3,4855
1981,90.9,9243
1995,152.4,20604
1970,38.8,3489
1967,33.4,2828