"","No.","区分","科目大区分","科目中区分","科目ナンバー","科目","単位数","修得年度","修得学期","評語","科目GP","合否"
"0","1","全学共通授業科目","基礎教養科目","","U1AA100","XX学","1","2020","前期","合格","-","合"
"1","2","全学共通授業科目","基礎教養科目","","U1AA100","XX学","1","2020","前期","合格","-","合"
"2","3","全学共通授業科目","基礎教養科目","","U1AA100","XX学","1","2020","前期","可","2","合"
"3","4","全学共通授業科目","基礎教養科目","","U1AB100","XX学Ａ","1","2020","後期","秀","4.3","合"
"4","5","全学共通授業科目","基礎教養科目","","U1AB100","XX学Ｂ","1","2019","後期","可","2","合"
"5","6","全学共通授業科目","基礎教養科目","","U1AD100","X学Ａ","1","2019","後期","優","4","合"
"6","7","全学共通授業科目","基礎教養科目","","U1AD100","X学Ｂ","1","2019","前期","秀","4.3","合"
"7","8","全学共通授業科目","基礎教養科目","","U1AA100","X学","1","2018","前期","可","2","合"
"8","9","全学共通授業科目","基礎教養科目","","U1AB100","X学Ａ","1","2018","後期","秀","4.3","合"
"9","10","全学共通授業科目","基礎教養科目","","U1AB100","X学Ｂ","1","2018","後期","可","2","合"
"10","11","全学共通授業科目","基礎教養科目","","U1AD100","X学Ａ","1","2018","後期","優","4","合"
"11","12","全学共通授業科目","基礎教養科目","","U1AD100","X学Ｂ","1","2019","前期","秀","4.3","合"
"12","13","高度教養科目","高度教養科目","","U1AA100","X学","1","2019","前期","可","2","合"
"13","14","高度教養科目","高度教養科目","","U1AA100","X学","1","2019","前期","可","2","合"
"14","15","高度教養科目","高度教養科目","","U1AA100","X学","1","2020","前期","優","4","合"
"15","16","専門科目","専門科目","","U1AA100","XX学","2","2020","前期","可","2","合"
"16","17","専門科目","専門科目","","U1AB100","XX学Ａ","1","2020","後期","秀","4.3","合"
"17","18","専門科目","専門科目","","U1AB100","XX学Ｂ","4","2020","後期","可","2","合"
"18","19","専門科目","専門科目","","U1AD100","X学Ａ","1","2019","後期","優","4","合"
"19","20","専門科目","専門科目","","U1AD100","X学Ｂ","1","2019","前期","秀","4.3","合"
"20","21","専門科目","専門科目","","U1AA100","X学","1","2019","前期","可","2","合"
"21","22","専門科目","専門科目","","U1AB100","X学Ａ","2","2019","後期","秀","4.3","合"
"22","23","専門科目","専門科目","","U1AB100","X学Ｂ","2","2018","後期","可","2","合"
"23","24","専門科目","専門科目","","U1AD100","X学Ａ","2","2018","後期","優","4","合"
"24","25","専門科目","専門科目","","U1AD100","X学Ａ","2","2018","後期","良","3","合"
"25","26","専門科目","専門科目","","U1AD100","X学Ｂ","1","2018","前期","取消","-",""
"26","27","専門科目","専門科目","","U1AD100","X学Ｂ","1","2018","前期","不可","0",""
"27","28","専門科目","専門科目","","U1AD100","X学Ｂ","1","2018","前期","不可","*","否"
"28","29","専門科目","専門科目","","U1AD100","X学Ｂ","1","2018","前期","取消","-",""
"29","30","専門科目","専門科目","","U1AD100","X学Ｂ","1","2018","前期","認定","-","合"